 "prop" , "support" ,
 "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "2528" ,
 "http://www.w3.org/ns/prov#hadPrimarySource" , "2528" ,
 "http://www.w3.org/2000/01/rdf-schema#label" , "1155" ,
 "http://www.w3.org/2002/07/owl#versionInfo" , "1119" ,
 "http://www.w3.org/2000/01/rdf-schema#comment" , "1069" ,
 "http://www.w3.org/2002/07/owl#imports" , "833" ,
 "http://purl.org/dc/terms/title" , "728" ,
 "http://www.w3.org/2002/07/owl#versionIRI" , "716" ,
 "http://purl.org/dc/terms/license" , "663" ,
 "http://purl.org/dc/terms/creator" , "661" ,
 "http://purl.org/dc/terms/description" , "610" ,
 "http://purl.org/vocab/vann/preferredNamespacePrefix" , "599" ,
 "http://purl.org/dc/terms/modified" , "594" ,
 "http://purl.org/vocab/vann/preferredNamespaceUri" , "584" ,
 "http://purl.org/dc/elements/1.1/title" , "475" ,
 "http://purl.org/dc/elements/1.1/creator" , "471" ,
 "http://purl.org/dc/terms/issued" , "418" ,
 "http://purl.org/dc/elements/1.1/description" , "390" ,
 "http://www.w3.org/2000/01/rdf-schema#seeAlso" , "368" ,
 "http://purl.org/dc/terms/created" , "348" ,
 "http://purl.org/dc/terms/contributor" , "326" ,
 "http://purl.org/dc/terms/publisher" , "290" ,
 "http://www.w3.org/2004/02/skos/core#prefLabel" , "270" ,
 "http://purl.org/dc/terms/rights" , "264" ,
 "http://creativecommons.org/ns#license" , "214" ,
 "http://www.w3.org/2002/07/owl#priorVersion" , "198" ,
 "http://purl.org/dc/elements/1.1/contributor" , "196" ,
 "http://www.w3.org/2004/02/skos/core#definition" , "176" ,
 "http://www.w3.org/2000/01/rdf-schema#isDefinedBy" , "169" ,
 "http://purl.org/dc/elements/1.1/rights" , "167" ,
 "http://purl.org/dc/elements/1.1/date" , "140" ,
 "http://www.w3.org/2004/02/skos/core#note" , "138" ,
 "http://www.w3.org/2004/02/skos/core#hasTopConcept" , "130" ,
 "http://purl.org/dc/terms/abstract" , "126" ,
 "http://purl.org/dc/elements/1.1/publisher" , "120" ,
 "http://www.w3.org/2004/02/skos/core#changeNote" , "99" ,
 "http://purl.org/dc/terms/source" , "96" ,
 "http://xmlns.com/foaf/0.1/homepage" , "78" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/copyright" , "70" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/filename" , "70" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/fileAbbreviation" , "69" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/contentLanguage" , "68" ,
 "http://xmlns.com/foaf/0.1/maker" , "67" ,
 "http://www.geneontology.org/formats/oboInOwl#default-namespace" , "66" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/dependsOn" , "61" ,
 "http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion" , "56" ,
 "https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/hasMaturityLevel" , "56" ,
 "http://purl.org/dc/elements/1.1/format" , "55" ,
 "http://purl.org/dc/terms/identifier" , "51" ,
 "http://purl.org/dc/elements/1.1/identifier" , "48" ,
 "http://purl.org/pav/createdOn" , "45" ,
 "http://purl.org/pav/version" , "45" ,
 "http://purl.org/dc/terms/hasVersion" , "44" ,
 "http://www.geneontology.org/formats/oboInOwl#saved-by" , "44" ,
 "http://purl.org/pav/lastUpdatedOn" , "43" ,
 "http://www.geneontology.org/formats/oboInOwl#date" , "43" ,
 "http://www.w3.org/2007/05/powder-s#describedby" , "42" ,
 "http://purl.org/dc/elements/1.1/issued" , "41" ,
 "http://purl.org/dc/elements/1.1/modified" , "37" ,
 "http://purl.org/dc/terms/date" , "37" ,
 "http://purl.org/dc/elements/1.1/source" , "36" ,
 "http://purl.org/dc/terms/type" , "36" ,
 "http://w3id.org/charta77/jup/seeAlso" , "36" ,
 "http://open.vocab.org/terms/defines" , "33" ,
 "http://purl.org/dc/elements/1.1/subject" , "33" ,
 "http://schema.org/creator" , "33" ,
 "http://www.geneontology.org/formats/oboInOwl#auto-generated-by" , "33" ,
 "http://purl.org/dc/elements/1.1/license" , "32" ,
 "http://schema.org/about" , "31" ,
 "http://purl.org/dc/terms/status" , "29" ,
 "http://purl.org/ontology/bibo/status" , "29" ,
 "http://purl.org/dc/elements/1.1/language" , "28" ,
 "http://purl.org/dc/terms/rightsHolder" , "28" ,
 "http://rdfs.org/ns/void#feature" , "28" ,
 "http://www.w3.org/2003/06/sw-vocab-status/ns#term_status" , "27" ,
 "http://purl.org/dc/terms/subject" , "26" ,
 "http://credreg.net/meta/terms/changeHistory" , "25" ,
 "http://credreg.net/meta/terms/hasConcept" , "25" ,
 "http://rdfs.org/ns/void#inDataset" , "25" ,
 "https://www.w3.org/2003/06/sw-vocab-status/ns#term_status" , "25" ,
 "http://protege.stanford.edu/plugins/owl/protege#defaultLanguage" , "22" ,
 "http://purl.org/dc/terms/partOf" , "22" ,
 "http://purl.obolibrary.org/obo/IAO_0000700" , "21" ,
 "http://www.w3.org/2004/02/skos/core#historyNote" , "20" ,
 "http://purl.org/dc/terms/hasFormat" , "19" ,
 "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "19" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#coversRequirements" , "18" ,
 "http://creativecommons.org/ns#attributionURL" , "17" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#hasConsequences" , "17" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#hasIntent" , "17" ,
 "http://purl.org/dc/terms/language" , "16" ,
 "http://purl.org/dc/terms/bibliographicCitation" , "15" ,
 "http://purl.org/dc/terms/hasPart" , "15" ,
 "http://rdfs.org/ns/void#vocabulary" , "15" ,
 "http://www.linkedmodel.org/schema/vaem#hasGraphMetadata" , "15" ,
 "http://creativecommons.org/ns#attributionName" , "14" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#relatedCPs" , "14" ,
 "http://xmlns.com/foaf/0.1/primaryTopic" , "14" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#extractedFrom" , "13" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#scenarios" , "13" ,
 "http://www.w3.org/2002/07/owl#sameAs" , "13" ,
 "http://www.geneontology.org/formats/oboInOwl#NamespaceIdRule" , "12" ,
 "http://www.w3.org/2002/07/owl#backwardCompatibleWith" , "12" ,
 "http://xmlns.com/foaf/0.1/depiction" , "12" ,
 "http://xmlns.com/foaf/spec/name" , "12" ,
 "http://www.loc.gov/mads/rdf/v1#adminMetadata" , "11" ,
 "http://www.loc.gov/mads/rdf/v1#hasMADSSchemeMember" , "11" ,
 "http://www.w3.org/2004/02/skos/core#notation" , "11" ,
 "http://www.w3.org/ns/prov#wasDerivedFrom" , "11" ,
 "http://xmlns.com/foaf/0.1/page" , "11" ,
 "http://purl.org/dc/elements/1.1/abstract" , "10" ,
 "http://purl.org/dc/elements/1.1/created" , "10" ,
 "http://purl.org/dc/terms/isFormatOf" , "10" ,
 "http://purl.org/dc/terms/references" , "10" ,
 "http://schema.org/dateCreated" , "10" ,
 "http://xmlns.com/foaf/0.1/name" , "10" ,
 "http://creativecommons.org/ns#licence" , "9" ,
 "http://purl.org/dc/elements/1.1/type" , "9" ,
 "http://purl.org/vocab/vann/changes" , "9" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/fileAbstract" , "9" ,
 "http://www.w3.org/2002/07/owl#subClassOf" , "9" ,
 "http://purl.org/vocab/vann/example" , "8" ,
 "http://schema.org/dateModified" , "8" ,
 "http://spinrdf.org/spin#imports" , "8" ,
 "http://usefulinc.com/ns/doap#bug-database" , "8" ,
 "http://web.resource.org/cc/license" , "8" ,
 "http://xmlns.com/foaf/0.1/logo" , "8" ,
 "http://ontologydesignpatterns.org/opla/reusesPatternAsTemplate" , "7" ,
 "http://purl.org/dc/terms/#license" , "7" ,
 "http://purl.org/dc/terms/available" , "7" ,
 "http://purl.org/dc/terms/conformsTo" , "7" ,
 "http://purl.org/dc/terms/isVersionOf" , "7" ,
 "http://purl.org/dc/terms/mediator" , "7" ,
 "http://purl.org/dc/terms/replaces" , "7" ,
 "http://schema.org/name" , "7" ,
 "http://w3id.org/meta-share/lexmeta/wikibaseEntity" , "7" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#hasAuthor" , "7" ,
 "http://www.w3.org/2004/02/skos/core#inScheme" , "7" ,
 "http://xmlns.com/foaf/spec/isPrimaryTopicOf" , "7" ,
 "https://schema.org/codeRepository" , "7" ,
 "http://publications.europa.eu/ontology/authority/prefLabel" , "6" ,
 "http://publications.europa.eu/ontology/authority/table.id" , "6" ,
 "http://publications.europa.eu/ontology/authority/table.version.number" , "6" ,
 "http://purl.org/dc/terms/isPartOf" , "6" ,
 "http://rdfs.org/ns/void#sparqlEndpoint" , "6" ,
 "http://schema.org/comment" , "6" ,
 "http://www.bbc.co.uk/ontologies/provenance/canonicalLocation" , "6" ,
 "http://www.bbc.co.uk/ontologies/provenance/changeReason" , "6" ,
 "http://www.bbc.co.uk/ontologies/provenance/public" , "6" ,
 "http://www.bbc.co.uk/ontologies/provenance/slug" , "6" ,
 "http://www.bbc.co.uk/ontologies/provenance/version" , "6" ,
 "http://www.geneontology.org/formats/oboInOwl#treat-xrefs-as-equivalent" , "6" ,
 "http://www.w3.org/1999/xhtml/vocab#license" , "6" ,
 "http://www.w3.org/2001/02pd/rec54#editor" , "6" ,
 "http://www.w3.org/2002/07/owl#incompatibleWith" , "6" ,
 "http://www.w3.org/2004/02/skos/core#altLabel" , "6" ,
 "http://www.w3.org/2004/02/skos/core#editorialNote" , "6" ,
 "http://www.w3.org/2004/02/skos/core#topConceptOf" , "6" ,
 "http://www.w3.org/2008/05/skos-xl#prefLabel" , "6" ,
 "http://www.w3.org/ns/prov#wasGeneratedBy" , "6" ,
 "http://www.w3.org/ns/shacl#declare" , "6" ,
 "http://purl.org/dc/terms/relation" , "5" ,
 "http://purl.org/dc/termscreator" , "5" ,
 "http://purl.org/dc/termsdescription" , "5" ,
 "http://purl.org/dc/termslicense" , "5" ,
 "http://purl.org/dc/termsmodified" , "5" ,
 "http://purl.org/dc/termstitle" , "5" ,
 "http://purl.org/net/ns/ontology-annot#created" , "5" ,
 "http://purl.org/net/ns/ontology-annot#creator" , "5" ,
 "http://purl.org/net/ns/ontology-annot#modified" , "5" ,
 "http://purl.org/ontology/bibo/doi" , "5" ,
 "http://purl.org/ontology/bibo/uri" , "5" ,
 "http://purl.org/vocab/vann/usageNote" , "5" ,
 "http://rdfs.org/ns/void#dataDump" , "5" ,
 "http://schema.org/citation" , "5" ,
 "http://usefulinc.com/ns/doap#repository" , "5" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/publicationDate" , "5" ,
 "http://www.w3.org/ns/adms#status" , "5" ,
 "http://www.w3.org/ns/prov#specializationOf" , "5" ,
 "http://www.w3.org/ns/prov#wasRevisionOf" , "5" ,
 "http://purl.obolibrary.org/obo/IAO_0000116" , "4" ,
 "http://purl.org/dc/terms/author" , "4" ,
 "http://purl.org/net/provenance/ns#createdBy" , "4" ,
 "http://purl.org/vocommons/voaf#classNumber" , "4" ,
 "http://purl.org/vocommons/voaf#propertyNumber" , "4" ,
 "http://purl.org/vocommons/voaf#specializes" , "4" ,
 "http://usefulinc.com/ns/doap#GitRepository" , "4" ,
 "http://usefulinc.com/ns/doap#homepage" , "4" ,
 "http://usefulinc.com/ns/doap#maintainer" , "4" ,
 "http://www.loc.gov/mads/rdf/v1#definitionNote" , "4" ,
 "http://www.loc.gov/mads/rdf/v1#hasTopMemberOfMADSScheme" , "4" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#hasComponent" , "4" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#isSpecializationOf" , "4" ,
 "http://www.ontologyrepository.com/CommonCoreOntologies/code_license" , "4" ,
 "http://www.ontologyrepository.com/CommonCoreOntologies/content_license" , "4" ,
 "http://www.w3.org/1999/xhtml/vocab#alternate" , "4" ,
 "http://www.w3.org/1999/xhtml/vocab#stylesheet" , "4" ,
 "http://www.w3.org/2004/02/skos/core#example" , "4" ,
 "http://www.w3.org/2004/02/skos/core#scopeNote" , "4" ,
 "http://www.w3.org/ns/dcat#distribution" , "4" ,
 "http://xmlns.com/foaf/0.1/isPrimaryTopicOf" , "4" ,
 "http://xmlns.com/foaf/0.1/mbox" , "4" ,
 "https://schema.org/creator" , "4" ,
 "https://schema.org/license" , "4" ,
 "https://w3id.org/linkml/generation_date" , "4" ,
 "https://w3id.org/linkml/metamodel_version" , "4" ,
 "https://w3id.org/linkml/source_file" , "4" ,
 "https://w3id.org/linkml/source_file_date" , "4" ,
 "https://w3id.org/linkml/source_file_size" , "4" ,
 "http://id.loc.gov/vocabulary/relators/fnd" , "3" ,
 "http://id.loc.gov/vocabulary/relators/pdr" , "3" ,
 "http://purl.obolibrary.org/obo/IAO_0000597" , "3" ,
 "http://purl.org/dc/terms/format" , "3" ,
 "http://purl.org/dc/terms/isReferencedBy" , "3" ,
 "http://purl.org/vocab/vann/preferredNamespaceURI" , "3" ,
 "http://purl.org/vocab/vann/termGroup" , "3" ,
 "http://purl.org/vocommons/voaf#extends" , "3" ,
 "http://purl.org/vocommons/voaf#reliesOn" , "3" ,
 "http://rdfs.org/ns/void#exampleResource" , "3" ,
 "http://rdfs.org/ns/void#subset" , "3" ,
 "http://rdfs.org/ns/void#triples" , "3" ,
 "http://schema.org/image" , "3" ,
 "http://topbraid.org/swa#defaultNamespace" , "3" ,
 "http://w3id.org/meta-share/meta-share/language" , "3" ,
 "http://www.agfa.com/w3c/2009/clinicalSKOSSchemes#hasDataType" , "3" ,
 "http://www.bbc.co.uk/ontologies/provenance/provided" , "3" ,
 "http://www.bbc.co.uk/ontologies/provenance/provider" , "3" ,
 "http://www.geneontology.org/formats/oboInOwl#treat-xrefs-as-genus-differentia" , "3" ,
 "http://www.linkedmodel.org/schema/vaem#dateCreated" , "3" ,
 "http://www.linkedmodel.org/schema/vaem#description" , "3" ,
 "http://www.linkedmodel.org/schema/vaem#namespace" , "3" ,
 "http://www.linkedmodel.org/schema/vaem#namespacePrefix" , "3" ,
 "http://www.linkedmodel.org/schema/vaem#usesNonImportedResource" , "3" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/relatedSpecification" , "3" ,
 "http://www.ontologydesignpatterns.org/opla/reusesPatternAsTemplate" , "3" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#reengineeredFrom" , "3" ,
 "http://www.w3.org/1999/02/22-rdf-syntax-ns#about" , "3" ,
 "http://www.w3.org/1999/xhtml/vocab#bookmark" , "3" ,
 "http://www.w3.org/2000/01/rdf-schema#isDefinedby" , "3" ,
 "http://www.w3.org/2002/07/owl#ontologyIRI" , "3" ,
 "http://www.w3.org/ns/adms#versionNotes" , "3" ,
 "http://www.w3.org/ns/dcat#keyword" , "3" ,
 "http://www.w3.org/ns/lemon/ontolex#phoneticRep" , "3" ,
 "http://www.w3.org/ns/prov#alternateOf" , "3" ,
 "https://schema.org/dateCreated" , "3" ,
 "https://schema.org/dateIssued" , "3" ,
 "https://schema.org/dateModified" , "3" ,
 "https://schema.org/publisher" , "3" ,
 "http://id.loc.gov/vocabulary/relators/ctb" , "2" ,
 "http://omv.ontoware.org/2005/05/ontology#acronym" , "2" ,
 "http://omv.ontoware.org/2005/05/ontology#designedForOntologyTask" , "2" ,
 "http://publications.europa.eu/ontology/euvoc#startDate" , "2" ,
 "http://purl.obolibrary.org/obo/IAO_0000589" , "2" ,
 "http://purl.org/dc/elements/1.1/Language" , "2" ,
 "http://purl.org/dc/elements/1.1/coverage" , "2" ,
 "http://purl.org/dc/terms#creator" , "2" ,
 "http://purl.org/dc/terms#license" , "2" ,
 "http://purl.org/dc/terms/dateCopyrighted" , "2" ,
 "http://purl.org/dc/terms/decription" , "2" ,
 "http://purl.org/dc/terms/lastModified" , "2" ,
 "http://purl.org/dc/terms/licence" , "2" ,
 "http://purl.org/dc/terms/provenance" , "2" ,
 "http://purl.org/dc/terms/version" , "2" ,
 "http://purl.org/linked-data/registry#notation" , "2" ,
 "http://purl.org/linked-data/registry-ui#hierarchyChildProperty" , "2" ,
 "http://purl.org/linked-data/registry-ui#hierarchyRootProperty" , "2" ,
 "http://purl.org/pav/lastUpdateOn" , "2" ,
 "http://purl.org/vocab/frbr/core#complement" , "2" ,
 "http://purl.org/vocommons/voaf#toDoList" , "2" ,
 "http://rdfs.org/ns/void#classes" , "2" ,
 "http://rdfs.org/ns/void#entities" , "2" ,
 "http://rdfs.org/ns/void#properties" , "2" ,
 "http://rdfs.org/ns/void#uriSpace" , "2" ,
 "http://schema.org/license" , "2" ,
 "http://schema.org/schemaVersion" , "2" ,
 "http://topbraid.org/metadata#status" , "2" ,
 "http://usefulinc.com/ns/doap#download-page" , "2" ,
 "http://usefulinc.com/ns/doap#mailing-list" , "2" ,
 "http://usefulinc.com/ns/doap#wiki" , "2" ,
 "http://voag.linkedmodel.org/schema/voag#hasLicenseType" , "2" ,
 "http://voag.linkedmodel.org/schema/voag#withAttributionTo" , "2" ,
 "http://www.geneontology.org/formats/oboInOwl#remark" , "2" ,
 "http://www.geneontology.org/formats/oboInOwl#treat-xrefs-as-is_a" , "2" ,
 "http://www.linkedmodel.org/schema/vaem#acronym" , "2" ,
 "http://www.linkedmodel.org/schema/vaem#hasCatalogEntry" , "2" ,
 "http://www.linkedmodel.org/schema/vaem#intent" , "2" ,
 "http://www.linkedmodel.org/schema/vaem#lastUpdated" , "2" ,
 "http://www.linkedmodel.org/schema/vaem#revisionNumber" , "2" ,
 "http://www.linkedmodel.org/schema/vaem#specificity" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#chapter" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#contents" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#last" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#section" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#subsection" , "2" ,
 "http://www.w3.org/2000/01/rdf-schema#sameAs" , "2" ,
 "http://www.w3.org/2002/07/owl#Declaration" , "2" ,
 "http://www.w3.org/2002/07/owl#equivalentClass" , "2" ,
 "urn:neoneo:vocab" , "2" ,
 "file:///home/dgarijo/Documents/GitHub/ontology_metadata_landscape_analysis/ontology_files/wild/ontologyIRI" , "1" ,
 "http://archivo.dbpedia.org/trackThis" , "1" ,
 "http://buzzword.org.uk/rdf/personal-link-types#edit" , "1" ,
 "http://creativecommons.org/ns#useGuidelines" , "1" ,
 "http://d3fend.mitre.org/ontologies/d3fend.owl#release-date" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/contributor" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/created" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/creator" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/date" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/format" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/language" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/publisher" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/title" , "1" ,
 "http://edamontology.org/next_id" , "1" ,
 "http://edg.topbraid.solutions/model/subjectArea" , "1" ,
 "http://empusa.org/0.1/codeProjectDescription" , "1" ,
 "http://empusa.org/0.1/codeProjectFullName" , "1" ,
 "http://empusa.org/0.1/codeProjectGroup" , "1" ,
 "http://empusa.org/0.1/codeProjectName" , "1" ,
 "http://empusa.org/0.1/codeProjectVersion" , "1" ,
 "http://example.com/owl/families/import/familyImport17/ontologyIRI" , "1" ,
